REF_DATE,GEO,DGUID,Type of structure,Type of unit,VECTOR,COORDINATE,VALUE,city,province
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Bachelor units,v3822825,37.3.1,528.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,One bedroom units,v3822959,37.3.2,628.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Two bedroom units,v3823093,37.3.3,744.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Three bedroom units,v3823227,37.3.4,835.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Two bedroom units,v3823629,37.2.3,795.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Three bedroom units,v3823763,37.2.4,897.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Bachelor units,v3823897,37.1.1,528.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,One bedroom units,v3824031,37.1.2,628.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Two bedroom units,v3824165,37.1.3,743.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Three bedroom units,v3824299,37.1.4,834.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Bachelor units,v3824433,37.4.1,558.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,One bedroom units,v3824621,37.4.2,645.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Two bedroom units,v3824809,37.4.3,747.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Three bedroom units,v3824997,37.4.4,841.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Bachelor units,v3822824,105.3.1,727.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,One bedroom units,v3822958,105.3.2,877.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Two bedroom units,v3823092,105.3.3,992.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Three bedroom units,v3823226,105.3.4,1176.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,One bedroom units,v3823494,105.2.2,888.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Two bedroom units,v3823628,105.2.3,1105.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Three bedroom units,v3823762,105.2.4,1259.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Bachelor units,v3823896,105.1.1,727.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,One bedroom units,v3824030,105.1.2,877.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Two bedroom units,v3824164,105.1.3,986.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Three bedroom units,v3824298,105.1.4,1080.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Bachelor units,v3824432,105.4.1,737.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,One bedroom units,v3824620,105.4.2,888.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Two bedroom units,v3824808,105.4.3,1007.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1129.0,Ottawa-Gatineau,Ontario/Quebec
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,754.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,916.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Two bedroom units,v3823094,106.3.3,1115.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Three bedroom units,v3823228,106.3.4,1295.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,One bedroom units,v3823496,106.2.2,903.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Two bedroom units,v3823630,106.2.3,1120.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Three bedroom units,v3823764,106.2.4,1263.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Bachelor units,v3823898,106.1.1,754.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,One bedroom units,v3824032,106.1.2,916.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Two bedroom units,v3824166,106.1.3,1115.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Three bedroom units,v3824300,106.1.4,1377.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Bachelor units,v3824434,106.4.1,757.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,One bedroom units,v3824622,106.4.2,921.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Two bedroom units,v3824810,106.4.3,1117.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2012,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Three bedroom units,v3824998,106.4.4,1406.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Bachelor units,v3822825,37.3.1,550.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,One bedroom units,v3822959,37.3.2,617.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Two bedroom units,v3823093,37.3.3,745.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Three bedroom units,v3823227,37.3.4,833.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Two bedroom units,v3823629,37.2.3,807.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Three bedroom units,v3823763,37.2.4,902.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Bachelor units,v3823897,37.1.1,550.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,One bedroom units,v3824031,37.1.2,617.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Two bedroom units,v3824165,37.1.3,744.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Three bedroom units,v3824299,37.1.4,831.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Bachelor units,v3824433,37.4.1,566.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,One bedroom units,v3824621,37.4.2,640.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Two bedroom units,v3824809,37.4.3,749.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Three bedroom units,v3824997,37.4.4,848.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Bachelor units,v3822824,105.3.1,737.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,One bedroom units,v3822958,105.3.2,884.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Two bedroom units,v3823092,105.3.3,1009.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Three bedroom units,v3823226,105.3.4,1192.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,One bedroom units,v3823494,105.2.2,909.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Two bedroom units,v3823628,105.2.3,1111.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Three bedroom units,v3823762,105.2.4,1281.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Bachelor units,v3823896,105.1.1,737.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,One bedroom units,v3824030,105.1.2,884.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Two bedroom units,v3824164,105.1.3,1003.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Three bedroom units,v3824298,105.1.4,1097.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Bachelor units,v3824432,105.4.1,746.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,One bedroom units,v3824620,105.4.2,899.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Two bedroom units,v3824808,105.4.3,1024.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1142.0,Ottawa-Gatineau,Ontario/Quebec
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,766.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,932.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Two bedroom units,v3823094,106.3.3,1132.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Three bedroom units,v3823228,106.3.4,1320.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,One bedroom units,v3823496,106.2.2,922.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Two bedroom units,v3823630,106.2.3,1130.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row structures of three units and over,Three bedroom units,v3823764,106.2.4,1286.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Bachelor units,v3823898,106.1.1,766.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,One bedroom units,v3824032,106.1.2,932.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Two bedroom units,v3824166,106.1.3,1132.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of three units and over,Three bedroom units,v3824300,106.1.4,1396.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Bachelor units,v3824434,106.4.1,770.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,One bedroom units,v3824622,106.4.2,936.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Two bedroom units,v3824810,106.4.3,1134.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2013,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Apartment structures of six units and over,Three bedroom units,v3824998,106.4.4,1415.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Bachelor units,v3822825,37.3.1,554.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,One bedroom units,v3822959,37.3.2,630.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Two bedroom units,v3823093,37.3.3,750.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row and apartment structures of three units and over,Three bedroom units,v3823227,37.3.4,837.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Two bedroom units,v3823629,37.2.3,749.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Row structures of three units and over,Three bedroom units,v3823763,37.2.4,890.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Bachelor units,v3823897,37.1.1,554.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,One bedroom units,v3824031,37.1.2,630.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Two bedroom units,v3824165,37.1.3,750.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of three units and over,Three bedroom units,v3824299,37.1.4,836.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Bachelor units,v3824433,37.4.1,572.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,One bedroom units,v3824621,37.4.2,649.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Two bedroom units,v3824809,37.4.3,753.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",2011S050524505,Apartment structures of six units and over,Three bedroom units,v3824997,37.4.4,838.0,Ottawa-Gatineau,"Quebec part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Bachelor units,v3822824,105.3.1,749.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,One bedroom units,v3822958,105.3.2,892.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Two bedroom units,v3823092,105.3.3,1015.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row and apartment structures of three units and over,Three bedroom units,v3823226,105.3.4,1183.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,One bedroom units,v3823494,105.2.2,921.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Two bedroom units,v3823628,105.2.3,1103.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Row structures of three units and over,Three bedroom units,v3823762,105.2.4,1269.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Bachelor units,v3823896,105.1.1,749.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,One bedroom units,v3824030,105.1.2,892.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Two bedroom units,v3824164,105.1.3,1009.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of three units and over,Three bedroom units,v3824298,105.1.4,1103.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Bachelor units,v3824432,105.4.1,760.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,One bedroom units,v3824620,105.4.2,905.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Two bedroom units,v3824808,105.4.3,1030.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario/Quebec",2011S0503505,Apartment structures of six units and over,Three bedroom units,v3824996,105.4.4,1143.0,Ottawa-Gatineau,Ontario/Quebec
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Bachelor units,v3822826,106.3.1,780.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,One bedroom units,v3822960,106.3.2,936.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
2014,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",2011S050535505,Row and apartment structures of three units and over,Two bedroom units,v3823094,106.3.3,1131.0,Ottawa-Gatineau,"Ontario part, Ontario/Quebec"
